Country,Year,comp_1,comp_2,comp_3,comp_4,comp_5
Mali,2016,0.041214121134029016,0.95570404178227,0.0030818331798647732,3.903836162790287e-9,1.399570356473977e-20
Malta,2016,0.5981884549071131,2.3832598555306422e-5,0.0015310578598866614,2.4065585092230836e-4,0.4000159987835225
Mauritania,2016,0.04757923905341853,0.9391297688771345,0.01329087510748362,1.1696196336398784e-7,1.0124092304253268e-18
Mauritius,2016,0.37263745835442297,0.06601353138008592,0.5307962337377878,0.030550336951069047,2.43957663414288e-6
Mexico,2016,0.024368956755564518,0.001591226290959211,0.5060423572900139,0.46799609744411147,1.3622193507645605e-6
Moldova,2016,0.0599190292567786,0.2654594949477186,0.6724735922071,0.0021478835881957366,2.0702376974674864e-13
Mongolia,2016,0.17338387587279747,0.17720335080248725,0.6388782565966185,0.010534513496055255,3.23204168522589e-9
Montenegro,2016,0.04933319979232383,0.15751252980681088,0.7881993296174666,0.004954940782734644,6.63754079885702e-13
Morocco,2016,0.04738880925361888,0.45173557410218157,0.5007078740393985,1.6774260480122242e-4,2.858318647548356e-17
Mozambique,2016,0.15168986616852945,0.840779081032956,0.007530953468506673,9.93300071086488e-8,6.922136462779733e-16
Myanmar,2016,0.9998557995482407,1.4419919886229257e-4,1.2528973160055264e-9,2.231082431560392e-19,1.4793585617372622e-19
Namibia,2016,0.0712319240592335,0.3988124174823173,0.5290109411376761,9.447173206718082e-4,1.0127123556178207e-13
Nepal,2016,0.23515289830629219,0.7495718468669245,0.015274555823814802,6.990029204311366e-7,4.8183187535804857e-14
Netherlands,2016,0.04267904388388078,8.174919075838552e-8,4.133246609384733e-5,2.086128321774753e-5,0.9572586806176168
New Zealand,2016,0.07116663857527412,3.271251113730652e-9,1.3053335555633454e-6,1.2508301460118508e-7,0.9288319277369049
Nicaragua,2016,0.48674220739800445,0.05213846315706369,0.4335873940377095,0.027521842715726372,1.0092691496070291e-5
Niger,2016,0.061965956798680825,0.9372420368495894,7.920061032633555e-4,2.484665725966036e-10,6.324811466971327e-21
Nigeria,2016,0.036023912049306564,0.95684669249177845,0.00712937529125878,2.016765606896979e-8,2.3602130463700886e-20
North Macedonia,2016,0.07392568654313779,0.1635814864763105,0.7544091423696675,0.00808368458532039,2.5563357868358448e-11
Norway,2016,0.004335525305674836,1.6722673055465291e-9,6.1688372349502315e-6,1.2273975099810368e-5,0.9956460302097232
Pakistan,2016,0.0745391433552117,0.9221112088808575,0.0033496389402607827,8.823669823674072e-9,1.2686995985581032e-18
Panama,2016,0.03387972355132725,4.8492039124041784e-4,0.2951343397003839,0.6703465289775193,1.54487379529078e-4
Paraguay,2016,0.0984938010018774,0.026254279081577535,0.7661261313745491,0.10912549623738554,2.9230461063141164e-7
Peru,2016,0.03077058843298201,0.025658913481591706,0.8917635896834489,0.051806908256165886,1.4581157595762366e-10
